iter	Passed	Remaining
803	22368	16581
804	22392	16551
805	22420	16523
806	22449	16496
807	22476	16467
808	22506	16441
809	22534	16414
810	22562	16386
811	22589	16358
812	22616	16329
813	22644	16301
814	22670	16272
815	22697	16244
816	22721	16214
817	22749	16185
818	22775	16157
819	22802	16128
820	22828	16099
821	22853	16069
822	22880	16041
823	22908	16013
824	22934	15984
825	22962	15956
826	22989	15928
827	23017	15900
828	23046	15874
829	23072	15845
830	23099	15816
831	23126	15788
832	23155	15761
833	23180	15731
834	23204	15701
835	23231	15672
836	23258	15644
837	23282	15614
838	23309	15585
839	23336	15557
840	23360	15527
841	23387	15499
842	23413	15469
843	23446	15446
844	23472	15417
845	23499	15388
846	23525	15359
847	23555	15333
848	23581	15304
849	23605	15274
850	23634	15247
851	23661	15219
852	23687	15189
853	23715	15162
854	23744	15135
855	23770	15106
856	23796	15077
857	23820	15047
858	23848	15020
859	23872	14989
860	23895	14959
861	23921	14930
862	23949	14902
863	23974	14873
864	24001	14845
865	24030	14818
866	24055	14788
867	24082	14760
868	24109	14731
869	24137	14704
870	24160	14673
871	24189	14646
872	24215	14618
873	24244	14590
874	24272	14563
875	24298	14534
876	24326	14507
877	24355	14480
878	24381	14451
879	24407	14422
880	24437	14396
881	24463	14367
882	24492	14340
883	24517	14310
884	24545	14283
885	24570	14254
886	24596	14225
887	24624	14197
888	24652	14170
889	24679	14142
890	24707	14114
891	24735	14087
892	24762	14058
893	24792	14032
894	24816	14002
895	24845	13975
896	24871	13946
897	24895	13916
898	24922	13888
899	24947	13859
900	24974	13831
901	25000	13802
902	25026	13774
903	25052	13745
904	25081	13718
905	25105	13689
906	25136	13662
907	25162	13634
908	25188	13605
909	25223	13581
910	25251	13554
911	25277	13525
912	25305	13498
913	25334	13470
914	25361	13443
915	25387	13414
916	25417	13387
917	25445	13360
918	25471	13331
919	25496	13302
920	25525	13275
921	25550	13246
922	25575	13217
923	25600	13188
924	25628	13160
925	25654	13131
926	25678	13102
927	25703	13073
928	25732	13046
929	25759	13018
930	25788	12991
931	25816	12963
932	25847	12937
933	25874	12909
934	25902	12881
935	25931	12854
936	25959	12827
937	25986	12799
938	26011	12770
939	26039	12742
940	26066	12714
941	26092	12685
942	26119	12658
943	26147	12630
944	26173	12601
945	26201	12574
946	26232	12548
947	26268	12524
948	26297	12497
949	26322	12468
950	26350	12440
951	26377	12412
952	26401	12383
953	26428	12355
954	26457	12328
955	26483	12300
956	26507	12270
957	26534	12242
958	26561	12214
959	26586	12185
960	26611	12156
961	26638	12128
962	26664	12100
963	26690	12071
964	26716	12043
965	26745	12015
966	26772	11988
967	26796	11958
968	26825	11931
969	26852	11903
970	26879	11875
971	26904	11846
972	26932	11819
973	26956	11789
974	26981	11761
975	27007	11732
976	27034	11704
977	27058	11675
978	27085	11647
979	27116	11621
980	27144	11593
981	27174	11567
982	27200	11538
983	27228	11511
984	27253	11482
985	27280	11454
986	27311	11428
987	27339	11400
988	27364	11371
989	27393	11344
990	27422	11317
991	27446	11288
992	27471	11259
993	27497	11231
994	27526	11204
995	27550	11175
996	27577	11147
997	27604	11119
998	27632	11091
999	27659	11063
1000	27688	11036
1001	27715	11008
1002	27743	10981
1003	27771	10953
1004	27797	10925
1005	27825	10897
1006	27853	10870
1007	27880	10842
1008	27910	10815
1009	27937	10787
1010	27967	10761
1011	27993	10732
1012	28020	10704
1013	28049	10677
1014	28073	10648
1015	28101	10620
1016	28128	10593
1017	28153	10564
1018	28178	10535
1019	28205	10508
1020	28231	10479
1021	28257	10451
1022	28284	10423
1023	28310	10395
1024	28335	10366
1025	28361	10338
1026	28386	10309
1027	28412	10281
1028	28438	10253
1029	28464	10224
1030	28490	10196
1031	28518	10169
1032	28545	10141
1033	28569	10112
1034	28597	10085
1035	28627	10058
1036	28652	10029
1037	28679	10001
1038	28708	9974
1039	28738	9947
1040	28764	9919
1041	28788	9890
1042	28815	9862
1043	28841	9834
1044	28868	9806
1045	28898	9780
1046	28925	9752
1047	28949	9723
1048	28974	9694
1049	29002	9667
1050	29028	9639
1051	29053	9611
1052	29079	9582
1053	29109	9555
1054	29134	9527
1055	29160	9499
1056	29186	9470
1057	29212	9443
1058	29239	9415
1059	29263	9386
1060	29293	9359
1061	29319	9331
1062	29345	9303
1063	29374	9276
1064	29401	9248
1065	29423	9219
1066	29450	9191
1067	29476	9163
1068	29504	9135
1069	29527	9106
1070	29552	9078
1071	29577	9049
1072	29605	9022
1073	29631	8994
1074	29657	8966
1075	29686	8938
1076	29712	8910
1077	29737	8882
1078	29766	8855
1079	29794	8828
1080	29819	8799
1081	29844	8771
1082	29871	8743
1083	29898	8715
1084	29925	8688
1085	29955	8661
1086	29982	8633
1087	30007	8605
1088	30034	8577
1089	30061	8549
1090	30092	8522
1091	30117	8494
1092	30145	8467
1093	30172	8439
1094	30198	8411
1095	30223	8383
1096	30247	8354
1097	30276	8327
1098	30303	8299
1099	30329	8271
1100	30357	8244
1101	30386	8217
1102	30412	8189
1103	30439	8161
1104	30467	8133
1105	30495	8106
1106	30521	8078
1107	30544	8049
1108	30575	8022
1109	30604	7995
1110	30631	7967
1111	30655	7939
1112	30683	7912
1113	30708	7883
1114	30735	7856
1115	30764	7828
1116	30790	7801
1117	30816	7773
1118	30844	7745
1119	30872	7718
1120	30899	7690
1121	30925	7662
1122	30953	7635
1123	30981	7607
1124	31006	7579
1125	31031	7551
1126	31060	7523
1127	31087	7496
1128	31112	7467
1129	31140	7440
1130	31171	7413
1131	31196	7385
1132	31225	7358
1133	31251	7330
1134	31277	7302
1135	31303	7274
1136	31331	7247
1137	31359	7219
1138	31386	7192
1139	31412	7164
1140	31438	7136
1141	31468	7109
1142	31493	7081
1143	31522	7053
1144	31549	7026
1145	31579	6999
1146	31603	6971
1147	31632	6943
1148	31659	6915
1149	31685	6888
1150	31708	6859
1151	31734	6831
1152	31764	6804
1153	31790	6776
1154	31815	6748
1155	31843	6721
1156	31870	6693
1157	31895	6665
1158	31921	6637
1159	31948	6610
1160	31977	6582
1161	32004	6555
1162	32030	6527
1163	32056	6499
1164	32084	6471
1165	32110	6444
1166	32135	6416
1167	32164	6388
1168	32191	6361
1169	32217	6333
1170	32244	6305
1171	32269	6277
1172	32299	6250
1173	32325	6222
1174	32354	6195
1175	32382	6168
1176	32412	6141
1177	32439	6113
1178	32465	6085
1179	32492	6057
1180	32517	6029
1181	32545	6002
1182	32571	5974
1183	32596	5946
1184	32622	5918
1185	32648	5891
1186	32675	5863
1187	32703	5835
1188	32727	5807
1189	32755	5780
1190	32779	5752
1191	32805	5724
1192	32832	5696
1193	32857	5668
1194	32881	5640
1195	32905	5612
1196	32932	5585
1197	32957	5557
1198	32982	5529
1199	33006	5501
1200	33034	5473
1201	33060	5445
1202	33087	5418
1203	33108	5389
1204	33137	5362
1205	33164	5334
1206	33189	5307
1207	33215	5279
1208	33254	5253
1209	33312	5230
1210	33365	5207
1211	33391	5179
1212	33429	5153
1213	33457	5126
1214	33484	5098
1215	33509	5070
1216	33536	5042
1217	33566	5015
1218	33592	4987
1219	33616	4959
1220	33646	4932
1221	33671	4904
1222	33696	4876
1223	33722	4848
1224	33752	4821
1225	33777	4793
1226	33804	4766
1227	33829	4738
1228	33858	4711
1229	33884	4683
1230	33910	4655
1231	33939	4628
1232	33964	4600
1233	33990	4572
1234	34013	4544
1235	34041	4516
1236	34067	4489
1237	34092	4461
1238	34117	4433
1239	34146	4406
1240	34171	4378
1241	34197	4350
1242	34223	4322
1243	34250	4295
1244	34275	4267
1245	34302	4239
1246	34328	4211
1247	34355	4184
1248	34379	4156
1249	34404	4128
1250	34435	4101
1251	34461	4073
1252	34486	4045
1253	34510	4017
1254	34536	3990
1255	34562	3962
1256	34590	3935
1257	34616	3907
1258	34642	3879
1259	34668	3852
1260	34694	3824
1261	34725	3797
1262	34751	3769
1263	34776	3741
1264	34804	3714
1265	34830	3686
1266	34858	3659
1267	34886	3631
1268	34912	3604
1269	34940	3576
1270	34966	3548
1271	34991	3521
1272	35018	3493
1273	35044	3465
1274	35070	3438
1275	35096	3410
1276	35123	3383
1277	35148	3355
1278	35172	3327
1279	35200	3300
1280	35226	3272
1281	35252	3244
1282	35278	3217
1283	35302	3189
1284	35329	3161
1285	35357	3134
1286	35381	3106
1287	35409	3079
1288	35436	3051
1289	35462	3023
1290	35489	2996
1291	35515	2968
1292	35541	2941
1293	35564	2913
1294	35590	2885
1295	35621	2858
1296	35645	2830
1297	35671	2803
1298	35700	2775
1299	35726	2748
1300	35752	2720
1301	35780	2693
1302	35810	2665
1303	35837	2638
1304	35866	2610
1305	35892	2583
1306	35939	2557
1307	35978	2530
1308	36019	2504
1309	36057	2477
1310	36085	2449
1311	36112	2422
1312	36139	2394
1313	36166	2367
1314	36198	2339
1315	36224	2312
1316	36250	2284
1317	36276	2256
1318	36304	2229
1319	36332	2201
1320	36357	2174
1321	36383	2146
1322	36412	2119
1323	36437	2091
1324	36464	2064
1325	36490	2036
1326	36515	2008
1327	36540	1981
1328	36566	1953
1329	36595	1926
1330	36625	1898
1331	36650	1871
1332	36677	1843
1333	36706	1816
1334	36732	1788
1335	36758	1760
1336	36788	1733
1337	36815	1705
1338	36842	1678
1339	36870	1650
1340	36900	1623
1341	36928	1596
1342	36959	1568
1343	36987	1541
1344	37014	1513
1345	37040	1486
1346	37069	1458
1347	37097	1431
1348	37124	1403
1349	37149	1375
1350	37177	1348
1351	37205	1320
1352	37230	1293
1353	37256	1265
1354	37282	1238
1355	37306	1210
1356	37331	1182
1357	37357	1155
1358	37383	1127
1359	37409	1100
1360	37434	1072
1361	37461	1045
1362	37485	1017
1363	37511	990
1364	37536	962
1365	37563	934
1366	37590	907
1367	37617	879
1368	37644	852
1369	37670	824
1370	37695	797
1371	37723	769
1372	37749	742
1373	37776	714
1374	37802	687
1375	37829	659
1376	37855	632
1377	37886	604
1378	37914	577
1379	37938	549
1380	37967	522
1381	37994	494
1382	38021	467
1383	38048	439
1384	38076	412
1385	38102	384
1386	38130	357
1387	38155	329
1388	38183	302
1389	38209	274
1390	38232	247
1391	38261	219
1392	38286	192
1393	38311	164
1394	38338	137
1395	38365	109
1396	38391	82
1397	38416	54
